feature,importance
words,0.29371706265256375
unique_words,0.1945846969734026
hapax,0.12868787819077737
ASL,0.12398120649290453
ttr,0.12189105423601121
ASW,0.06784216721747488
FK,0.04345302367471061
total_punct_per_1000,0.022921757337304255
punct_per_1000__,0.002647043095518854
punct_per_1000____,0.0002741101293319849
