feature,importance
words,0.21254342970804138
ASW,0.18413926127772615
unique_words,0.14440351610746208
ASL,0.1038097769458825
FK,0.09964663018660633
hapax,0.09877457856093075
ttr,0.08818691458649533
total_punct_per_1000,0.06385090883556695
punct_per_1000__,0.004527163243504354
punct_per_1000____,0.000117820547784195
